category,question,right_answer,wrong_answer_1,wrong_answer_2,wrong_answer_3
География,С какой из перечисленных стран Россия имеет сухопутную границу?,Польша,Чехия,Киргизия,Афганистан
География,Столица Малайзии — ... .,Куала-Лумпур,Пхеньян,Мамадыш,Джакарта
География,Какое государство самое маленькое в мире по населению?,Ватикан,Монако,Науру,Сан-Марино
География,Какая приземная температура по Цельсию была зафиксирована как самая высокая на Земле?,57°C,72°C,49°C,65°C
География,Столица Индонезии — ... .,Джакарта,Лондон,Манила,Тегусигальпа
География,Столицей какой страны является город Любляна?,Словения,Словакия,Лихтенштейн,Босния и Герцеговина
География,В какой стране была изобретена бумага?,Китай,Индия,Япония,Египет
География,"Какое государство так мало, единственный железнодорожный вокзал которого был построен в скале?",Монако,Люксембург,Лихтенштейн,Андорра
География,В каком городе Англии расположен футбольный стадион Сент-Джеймс Парк?,Ньюкасл-апон-тайн,Лондон,Манчестер,Ливерпуль
География,Второй страной по численности населения в 2015 году является ... .,Индия,Америка,Азербайджан,Россия
География,"Какой пролив соединяет два моря, два океана и разделяет два полуострова, два материка, две части света и два государства?",Берингов,Гудзонов,Гибралтарский,Дрейка
Здоровье,Как по-другому называется лодыжка?,Щиколотка,Ключица,Плюсна,Лопатка
Здоровье,Без какого органа человек не может жить?,Сердце,Глаз,Легкое,Поджелудочная железа
Здоровье,Какую телепередачу ведет Елена Малышева?,Жить здорово!,Поле чудес,Выжить любой ценой,Модный приговор
Здоровье,Детскую прогерию по-другому называют ... .,Синдром Гетчинсона-Гилфорда,Синдром Вернера,Синдром Рейно,Синдром Жильбера
Здоровье,Какого вида волос не существует?,Короткие,Длинные,Щетинистые,Пушковые
Здоровье,Что из перечисленного является медленно прогрессирующим хроническим неврологическим заболеванием?,Болезнь Паркинсона,Болезнь Лайма,Болезнь Крона,Болезнь Бехтерева
Здоровье,Частью какой мыщцы является медиальная головка?,Трицепс,Бицепс,Квадрицепс,Широчайшая мыщца спины
Здоровье,Что не является рудиментом?,Волосяной покров,Аппендикс,Копчик,Эпикантус
Здоровье,"Как называется патологическое состояние, развивающееся у водолазов?",Кессоная болезнь,Эритроцитоз,Акваланговая болезнь,Плеторическая болезнь
Здоровье,Как по-другому называется двуглавая мышца плеча?,Бицепс,Трицепс,Дельты,Альфы
Здоровье,В здоровом теле — здоровый ... .,Дух,Слух,Нюх,Мозг
Здоровье,Сколько аминокислот входит в состав природных белков?,20,13,22,17
Знаменитости,Кто в 2005 году получил награду Visionary Teen Choice Awards?,Гвен Стефани,Лейтон Мистер,Майли Сайрус,Кэти Пэрри
Знаменитости,На ком женился Дэвид Бекхэм в 1999?,Виктория,Ирина,Антонелле,Ванесса
Знаменитости,"Кто в 2013 году выпустил альбом ""The 20/20 Experience""?",Джастин Тимберлейк,Джастин Бибер,Рианна,Валерий Сюткин
Знаменитости,"Какой украинский футболист снялся в первом сезоне реалити-шоу ""Холостяк""?",Евгений Левченко,Анатолий Тимощук,Андрей Шевченко,Александр Шовковский
Знаменитости,Чье лицо стало самым покупаемым в 2008 году?,Анджелина Джоли,Дженнифер Энистон,Хит Леджер,Хайди Монтаг
Знаменитости,Сколько родных сестер у Ким Кардашьян?,2,1,0,4
Знаменитости,За роль в каком фильме получила известность Эмма Уотсон?,Гарри Поттер,Сумерки,Ной,Три метра над уровнем неба
Знаменитости,Чье настоящее имя было Маргарета?,Мата Хари,Мерилин Монро,Коко Шанель,Вивьен Ли
Знаменитости,Название какого насекомого является одним из прозвищ Лионеля Месси?,Блоха,Пчела,Шмель,Клоп
Знаменитости,Как зовут первого сына Лионеля Месси?,Тьяго,Франклин,Бенджамин,Серхио
Знаменитости,Сколько биологических детей у Анжелины Джоли?,3,2,5,6
Знаменитости,В какой компании НЕ работал Стив Джобс?,Microsoft,NeXT ,Pixar,Apple
Игры,"Как зовут главного героя игры ""Fahrenheit""?",Лукас Кейн,Джон Уинстон,Итан Марс,Скотт Шелби
Игры,В каком году вышла World of Warcraft?,2004,2005,2007,2003
Игры,Кто изобрел настольный футбол?,Люсьен Розангартан,Джек Лондон,Андо Момофуку,Ласло Биро
Игры,Какая комбинация принесет больше всего очков в покере?,Флеш-рояль,Стрит-флеш,Каре,Фулл-хаус
Игры,Какой пистолет выдается по умолчанию контр-террористам в Counter-Strike 1.6?,USP,Glock-18,Desert Eagle,Dual Elites
Игры,"Когда вышла первая игра серии ""Mario""?",1983,1975,1991,1988
Игры,Кто является финальным боссом игры Diablo 3: Reaper of Souls?,Малтаэль,Диабло,Азмодан,Белиал
Игры,Как называются японские шахматы?,Сёги,Сянци,Чанги,Рэндзю
Игры,Какая масть является самой старшей при игре в преферанс?,Червы,Пики,Бубны,Трефы
Игры,Главным героем какой игры является Эцио Аудиторе?,Assassin's creed,Mirror's Age,Prince of Persia,Prototype
Игры,В каком году вышла последняя часть трилогии Mass Effect?,2012,2011,2013,2010
Игры,Что НЕ является продуктом Blizzard?,Counter-Strike: Global Offensive,Hearthstone: Heroes of Warcraft,StarCraft II,Warcraft III: The Frozen Throne
История,В каких годах проходила Война во Вьетнаме?,1957—1975,1939—1945,1905—1907,1905—1907
История,Где и когда состоялась первая в истории международная конференция по ограничению вооружений?,В Гааге в 1899 г.,В Генуе в 1882 г.,В Москве в 1898 г.,В Париже в 1899 г.
История,Кем является Джон Рокфеллер?,американский предприниматель,знаменитый музыкант,"путешественник
",древний философ
История,Первый император Рима — ... .,Октавиан Август,Клемент,Тиберий,Калигула
История,Какой город посетил Николай II в мае 1912 года?,Гагра,Санкт-Петербург,Мурманск,Сочи
